 1   45.44	        0.0297964
 2   91.43		0.0372334
 3  137.42		0.0345393
 4  183.41		0.0306988
 5  229.40		0.0272192
 6  275.38	        0.0242531
 7  321.37		0.0217307
 8  367.36		0.0195634
 9  413.35		0.017677
10  459.34		0.0160148
11  505.32	        0.0145340
12  551.31		0.0132021
13  597.30		0.0119941
14  643.29		0.0108907
15  689.28		0.00987651
16  735.26	        0.00893914
17  781.25		0.00806877
18  827.24		0.00725722
19  873.23		0.00649782
20  919.22		0.00578491
21  965.20	        0.00511384
22 1011.19		0.00448062
23 1057.18		0.00388186
24 1103.17		0.00331461
25 1149.16		0.00277642
	
