 1   45.44	        0.0324757
 2   91.43		0.0401093 
 3  137.42		0.0377283 
 4  183.41		0.0339981 
 5  229.40		0.0304917
 6  275.38	        0.0274323
 7  321.37		0.0247887 
 8  367.36		0.0224906 
 9  413.35		0.020473  
10  459.34		0.0186837
11  505.32	        0.0170816 
12  551.31		0.0156351
13  597.30		0.0143192 
14  643.29		0.0131145 
15  689.28		0.0120052
16  735.26	        0.0109786
17  781.25	 	0.0100245
18  827.24		0.00913435
19  873.23		0.00830108
20  919.22		0.00751878
21  965.20	        0.00678244
22 1011.19		0.00608782
23 1057.18		0.00543127
24 1103.17		0.00480969
25 1149.16		0.00422038
	
